time (s) →,0.52083,0.625,0.72917,0.83333,0.9375,1.0417,1.1458,1.25,1.3542,1.4583,1.5625,1.6667,1.7708,1.875,1.9792,2.0833,2.1875,2.2917,2.3958,2.5,2.6042,2.7083,2.8125,2.9167,3.0208,3.125,3.2292,3.3333,3.4375,3.5417,3.6458,3.75,3.8542,3.9583,4.0625,4.1667,4.2708,4.375,4.4792,4.5833,4.6875,4.7917,4.8958,5,5.1042,5.2083,5.3125,5.4167,5.5208,5.625,5.7292,5.8333,5.9375,6.0417,6.1458,6.25,6.3542
frequency (Hz),FFT amplitude (mV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244.16,0.51026,0.50342,0.45619,0.38473,0.27487,0.17197,0.32546,0.43742,0.52119,0.55656,0.52465,0.43508,0.32962,0.30983,0.34749,0.37989,0.39579,0.35695,0.35292,0.478,0.55453,0.56581,0.5432,0.50938,0.46501,0.50194,0.61726,0.67934,0.65988,0.57075,0.4337,0.28934,0.23909,0.30029,0.35785,0.35955,0.28135,0.24744,0.41598,0.54235,0.6054,0.591,0.48191,0.24556,0.35575,0.47092,0.48187,0.46347,0.46454,0.44243,0.37542,0.30377,0.24845,0.21458,15.429,15.429,15.429
243.2,0.51222,0.39207,0.35706,0.39469,0.39123,0.34942,0.25,0.23682,0.41559,0.4917,0.47786,0.40309,0.35219,0.39383,0.46431,0.51679,0.5394,0.53631,0.52619,0.51886,0.51593,0.50233,0.48336,0.46085,0.38379,0.41612,0.59188,0.681,0.67217,0.59129,0.47527,0.37663,0.35412,0.38158,0.38658,0.32659,0.21887,0.21622,0.36386,0.49383,0.56744,0.58862,0.57385,0.54312,0.51696,0.47466,0.36585,0.13921,0.3907,0.5069,0.53354,0.49754,0.42565,0.34009,15.429,15.392,15.392
242.24,0.46887,0.2974,0.25724,0.34629,0.40399,0.40697,0.37867,0.38439,0.42063,0.43185,0.39503,0.30841,0.22171,0.34286,0.43957,0.49302,0.51926,0.5099,0.42187,0.24446,0.3396,0.3563,0.14516,0.36267,0.52005,0.60535,0.63789,0.6083,0.52518,0.44597,0.3863,0.2583,0.24191,0.39158,0.44275,0.42031,0.35572,0.35341,0.42867,0.45824,0.4023,0.3711,0.48177,0.53385,0.49808,0.41352,0.36353,0.39814,0.47594,0.551,0.57939,0.55431,0.51425,0.51443,15.429,15.354,15.354
241.28,0.49161,0.26096,0.23018,0.34317,0.36448,0.35837,0.36551,0.36537,0.34172,0.30858,0.29588,0.28401,0.28216,0.33009,0.36925,0.31326,0.2588,0.41954,0.47532,0.46346,0.46703,0.48149,0.48372,0.49698,0.51758,0.54254,0.55092,0.48797,0.32426,0.15855,0.30508,0.35763,0.39694,0.44186,0.47037,0.46619,0.43581,0.41125,0.42379,0.43599,0.40066,0.38865,0.45665,0.48314,0.42204,0.25586,0.18888,0.27659,0.39802,0.52067,0.54834,0.45178,0.17958,0.38473,15.429,15.317,15.317
240.32,0.57278,0.50371,0.44893,0.3906,0.2547,0.17265,0.26171,0.20338,0.1648,0.18055,0.14263,0.24403,0.22387,0.29525,0.40479,0.44021,0.46278,0.52267,0.56356,0.55841,0.53069,0.51545,0.5047,0.44828,0.29395,0.26463,0.43714,0.4873,0.4471,0.34861,0.18977,0.2487,0.36465,0.38168,0.35724,0.36314,0.34805,0.22314,0.27065,0.43966,0.50503,0.48241,0.39674,0.39115,0.45882,0.46796,0.41848,0.37025,0.4646,0.56565,0.57711,0.50357,0.41343,0.38666,15.429,15.279,15.279
239.36,0.45263,0.5455,0.55348,0.49648,0.41691,0.35745,0.34052,0.33858,0.35027,0.39035,0.43254,0.45968,0.48149,0.50465,0.53325,0.55591,0.56232,0.55324,0.53211,0.46363,0.28438,0.29651,0.41931,0.41073,0.3532,0.3501,0.41956,0.48764,0.51144,0.48898,0.44932,0.44067,0.42041,0.31918,0.1992,0.26087,0.27883,0.32854,0.42149,0.51943,0.57126,0.54207,0.4439,0.43853,0.54069,0.59815,0.6072,0.59878,0.60466,0.62985,0.63073,0.55324,0.36581,0.29109,15.429,15.242,15.242
238.4,0.4449,0.48975,0.51411,0.51759,0.45509,0.28435,0.26705,0.46839,0.58032,0.64385,0.66084,0.6218,0.51249,0.3838,0.4569,0.51412,0.44081,0.25666,0.36701,0.44755,0.45477,0.46193,0.47573,0.43136,0.28415,0.29907,0.41108,0.40812,0.39086,0.47459,0.54913,0.57214,0.55008,0.49621,0.41948,0.32014,0.21231,0.30969,0.41715,0.51132,0.58887,0.61996,0.59861,0.5443,0.51751,0.57004,0.60246,0.52677,0.31735,0.46281,0.622,0.66981,0.64879,0.60321,15.429,15.204,15.204
237.44,0.47863,0.33072,0.24776,0.46131,0.53512,0.53985,0.55848,0.62401,0.69252,0.73116,0.72682,0.67336,0.57439,0.48651,0.52431,0.55925,0.51138,0.42721,0.38472,0.38437,0.43439,0.48518,0.51148,0.52119,0.52392,0.52409,0.49818,0.41641,0.36317,0.45528,0.50145,0.49128,0.5067,0.54405,0.53579,0.47336,0.38645,0.28651,0.24848,0.35015,0.47102,0.56225,0.56986,0.46178,0.29607,0.48443,0.58756,0.5867,0.54472,0.5465,0.57176,0.61241,0.66989,0.6905,15.429,15.166,15.166
